"distance.1","instensity.1","distance.A03_R2A_EVO","instensity.A03_R2A_EVO","distance.A03_R2A_T0","instensity.A03_R2A_T0","distance.A03_R2B_EVO","instensity.A03_R2B_EVO","distance.A03_R2B_T0","instensity.A03_R2B_T0","distance.A03_R2C_EVO","instensity.A03_R2C_EVO","distance.A03_R2C_T0","instensity.A03_R2C_T0","distance.A03_R3A_EVO","instensity.A03_R3A_EVO","distance.A03_R3A_T0","instensity.A03_R3A_T0","distance.A03_R3B_EVO","instensity.A03_R3B_EVO","distance.A03_R3B_T0","instensity.A03_R3B_T0","distance.A03_R3C_EVO","instensity.A03_R3C_EVO","distance.A03_R3C_T0","instensity.A03_R3C_T0","distance.A03_R4A_EVO","instensity.A03_R4A_EVO","distance.A03_R4B_EVO","instensity.A03_R4B_EVO","distance.A03_R4C_EVO","instensity.A03_R4C_EVO","distance.A03_R7A_T0","instensity.A03_R7A_T0","distance.A03_R7B_T0","instensity.A03_R7B_T0","distance.A03_R7C_T0","instensity.A03_R7C_T0","distance.A03_R8A_EVO","instensity.A03_R8A_EVO","distance.A03_R8A_T0","instensity.A03_R8A_T0","distance.A03_R8B_EVO","instensity.A03_R8B_EVO","distance.A03_R8B_T0","instensity.A03_R8B_T0","distance.A03_R8C_EVO","instensity.A03_R8C_EVO","distance.A03_R8C_T0","instensity.A03_R8C_T0","distance.A04_R3A_T0","instensity.A04_R3A_T0","distance.A04_R3B_T0","instensity.A04_R3B_T0","distance.A04_R3C_T0","instensity.A04_R3C_T0","distance.A04_R5A_T0","instensity.A04_R5A_T0","distance.A04_R5B_T0","instensity.A04_R5B_T0","distance.A04_R5C_T0","instensity.A04_R5C_T0","distance.A04_R6A_EVO","instensity.A04_R6A_EVO","distance.A04_R6A_T0","instensity.A04_R6A_T0","distance.A04_R6B_EVO","instensity.A04_R6B_EVO","distance.A04_R6B_T0","instensity.A04_R6B_T0","distance.A04_R6C_EVO","instensity.A04_R6C_EVO","distance.A04_R6C_T0","instensity.A04_R6C_T0","distance.A04_R7A_EVO","instensity.A04_R7A_EVO","distance.A04_R7A_T0","instensity.A04_R7A_T0","distance.A04_R7B_EVO","instensity.A04_R7B_EVO","distance.A04_R7B_T0","instensity.A04_R7B_T0","distance.A04_R7C_EVO","instensity.A04_R7C_EVO","distance.A04_R7C_T0","instensity.A04_R7C_T0","distance.A04_R8A_EVO","instensity.A04_R8A_EVO","distance.A04_R8B_EVO","instensity.A04_R8B_EVO","distance.A04_R8C_EVO","instensity.A04_R8C_EVO","distance.A04_R9A_EVO","instensity.A04_R9A_EVO","distance.A04_R9B_EVO","instensity.A04_R9B_EVO","distance.A04_R9C_EVO","instensity.A04_R9C_EVO","distance.A08_R10A_T0","instensity.A08_R10A_T0","distance.A08_R10B_T0","instensity.A08_R10B_T0","distance.A08_R10C_T0","instensity.A08_R10C_T0","distance.A08_R3A_EVO","instensity.A08_R3A_EVO","distance.A08_R3B_EVO","instensity.A08_R3B_EVO","distance.A08_R3C_EVO","instensity.A08_R3C_EVO","distance.A08_R4A_EVO","instensity.A08_R4A_EVO","distance.A08_R4B_EVO","instensity.A08_R4B_EVO","distance.A08_R4C_EVO","instensity.A08_R4C_EVO","distance.A08_R7A_EVO","instensity.A08_R7A_EVO","distance.A08_R7A_T0","instensity.A08_R7A_T0","distance.A08_R7B_EVO","instensity.A08_R7B_EVO","distance.A08_R7B_T0","instensity.A08_R7B_T0","distance.A08_R7C_EVO","instensity.A08_R7C_EVO","distance.A08_R7C_T0","instensity.A08_R7C_T0","distance.A08_R8A_EVO","instensity.A08_R8A_EVO","distance.A08_R8A_T0","instensity.A08_R8A_T0","distance.A08_R8B_EVO","instensity.A08_R8B_EVO","distance.A08_R8B_T0","instensity.A08_R8B_T0","distance.A08_R8C_EVO","instensity.A08_R8C_EVO","distance.A08_R8C_T0","instensity.A08_R8C_T0","distance.A08_R9A_T0","instensity.A08_R9A_T0","distance.A08_R9B_T0","instensity.A08_R9B_T0","distance.A08_R9C_T0","instensity.A08_R9C_T0","distance.A18_R1A_EVO","instensity.A18_R1A_EVO","distance.A18_R1B_EVO","instensity.A18_R1B_EVO","distance.A18_R1C_EVO","instensity.A18_R1C_EVO","distance.A18_R2A_EVO","instensity.A18_R2A_EVO","distance.A18_R2B_EVO","instensity.A18_R2B_EVO","distance.A18_R2C_EVO","instensity.A18_R2C_EVO","distance.A18_R3A_EVO","instensity.A18_R3A_EVO","distance.A18_R3B_EVO","instensity.A18_R3B_EVO","distance.A18_R3C_EVO","instensity.A18_R3C_EVO","distance.A18_R4A_EVO","instensity.A18_R4A_EVO","distance.A18_R4A_T0","instensity.A18_R4A_T0","distance.A18_R4B_EVO","instensity.A18_R4B_EVO","distance.A18_R4B_T0","instensity.A18_R4B_T0","distance.A18_R4C_EVO","instensity.A18_R4C_EVO","distance.A18_R4C_T0","instensity.A18_R4C_T0","distance.A18_R5A_T0","instensity.A18_R5A_T0","distance.A18_R5B_T0","instensity.A18_R5B_T0","distance.A18_R5C_T0","instensity.A18_R5C_T0","distance.A18_R7A_T0","instensity.A18_R7A_T0","distance.A18_R7B_T0","instensity.A18_R7B_T0","distance.A18_R7C_T0","instensity.A18_R7C_T0","distance.A18_R8A_T0","instensity.A18_R8A_T0","distance.A18_R8B_T0","instensity.A18_R8B_T0","distance.A18_R8C_T0","instensity.A18_R8C_T0"
1.553,240.556,1.549,239,1.549,240.444,1.56,240.792,1.56,238.722,1.549,240.611,1.556,240.556,1.56,240.986,1.56,240.889,1.553,240.375,1.563,243.25,1.556,238.986,1.563,240.569,1.553,240.514,1.545,240.431,1.538,207,1.553,240.472,1.549,240.542,1.556,241,1.553,240.694,1.56,240.778,1.553,240.597,1.553,240.611,1.556,240.278,1.553,238,1.553,240.389,1.556,238,1.553,240.389,1.556,240.444,1.563,240.917,1.56,241,1.553,240.486,1.56,240.528,1.549,240.611,1.556,243.278,1.556,240.792,1.553,240.583,1.549,240.556,1.549,240.583,1.556,241,1.553,240.333,1.549,240,1.553,240.847,1.563,240.639,1.56,240.778,1.556,240.736,1.545,240.542,1.553,240.542,1.549,240.444,1.553,240.403,1.556,240.5,1.549,240.528,1.556,240.667,1.553,233.292,1.549,240.375,1.553,240.181,1.553,240.444,1.545,240.153,1.556,240.5,1.545,240.431,1.556,240.597,1.556,240.375,1.553,240.444,1.556,240.667,1.549,240.361,1.556,240.708,1.556,240.694,1.556,240.681,1.549,240.458,1.553,240.625,1.556,240.722,1.549,240.375,1.556,240.806,1.56,240.667,1.549,240.458,1.556,240.444,1.556,240.889,1.553,240.458,1.553,240.653,1.556,243.389,1.553,240.681,1.56,240.653,1.556,240.653,1.556,240.431,1.56,240.819,1.553,240.653,1.56,240.542,1.556,240.403,1.549,240.417,1.553,240.167,1.556,240.639,1.553,231.125,1.545,240.611,1.553,240.653,1.553,240.528,1.553,240.444,1.556,240.611
1.644,240.944,1.64,239.111,1.64,240.986,1.651,241.014,1.651,239.264,1.64,240.778,1.648,240.736,1.651,241,1.651,241,1.644,240.972,1.655,243.972,1.648,239.028,1.655,241,1.644,240.847,1.636,240.889,1.629,207.111,1.644,240.806,1.64,240.889,1.648,241,1.644,241,1.651,241.014,1.644,241.056,1.644,240.972,1.648,240.583,1.644,238.069,1.644,241,1.648,238.222,1.644,241,1.648,240.917,1.655,241,1.651,241,1.644,241,1.651,240.958,1.64,240.958,1.648,243.972,1.648,241.056,1.644,241.194,1.64,240.875,1.64,240.792,1.648,241,1.644,240.986,1.64,240,1.644,241,1.655,241.236,1.651,241.014,1.648,241.014,1.636,240.764,1.644,240.889,1.64,240.958,1.644,241,1.648,240.972,1.64,240.917,1.648,241.167,1.644,233.778,1.64,240.861,1.644,240.736,1.644,240.931,1.636,240.972,1.648,240.847,1.636,241,1.648,240.958,1.648,241,1.644,240.764,1.648,241.069,1.64,240.639,1.648,241.056,1.648,241.028,1.648,241.028,1.64,240.819,1.644,241.139,1.648,241.042,1.64,240.736,1.648,241,1.651,241.028,1.64,240.917,1.648,240.944,1.648,241,1.644,240.944,1.644,241.153,1.648,243.875,1.644,241,1.651,241.042,1.648,241.083,1.648,240.986,1.651,241.028,1.644,241.208,1.651,240.806,1.648,240.778,1.64,241,1.644,240.972,1.648,241.069,1.644,231.583,1.636,240.875,1.644,241.014,1.644,240.889,1.644,241,1.648,240.958
1.735,241.222,1.731,239.778,1.731,241.208,1.743,241.431,1.743,239.597,1.731,241.403,1.739,241.375,1.743,241.403,1.743,241.444,1.735,241.153,1.747,244.028,1.739,239.708,1.747,241.083,1.735,241.292,1.727,241.208,1.719,207.819,1.735,241.028,1.731,241.222,1.739,241.389,1.735,241.319,1.743,241.458,1.735,241.472,1.735,241.167,1.739,241.056,1.735,238.875,1.735,241.167,1.739,238.653,1.735,241.097,1.739,241.236,1.747,241.444,1.743,241.444,1.735,241.111,1.743,241.125,1.731,241.111,1.739,244,1.739,241.486,1.735,241.458,1.731,241.208,1.731,241.292,1.739,241.458,1.735,241.111,1.731,240.75,1.735,241.431,1.747,241.458,1.743,241.417,1.739,241.486,1.727,241.25,1.735,241.167,1.731,241.25,1.735,241.111,1.739,241.097,1.731,241.222,1.739,241.486,1.735,234.139,1.731,241.208,1.735,241,1.735,241.361,1.727,241,1.739,241.292,1.727,241.042,1.739,241.167,1.739,241.111,1.735,241.222,1.739,241.431,1.731,241.153,1.739,241.458,1.739,241.458,1.739,241.486,1.731,241.306,1.735,241.514,1.739,241.458,1.731,241.111,1.739,241.444,1.743,241.458,1.731,241.278,1.739,241.292,1.739,241.417,1.735,241.264,1.735,241.528,1.739,244.069,1.735,241.514,1.743,241.431,1.739,241.514,1.739,241.222,1.743,241.5,1.735,241.486,1.743,241.306,1.739,241.014,1.731,241.125,1.735,241,1.739,241.5,1.735,232.028,1.727,241.306,1.735,241.431,1.735,241.069,1.735,241.125,1.739,241.181
1.826,241.722,1.822,240.056,1.822,241.694,1.835,242,1.835,240.056,1.822,241.639,1.831,241.653,1.835,242,1.835,242,1.826,241.736,1.839,244.653,1.831,240.028,1.839,241.819,1.826,241.667,1.818,241.639,1.81,208.097,1.826,241.653,1.822,241.694,1.831,242,1.826,241.833,1.835,242,1.826,241.861,1.826,241.75,1.831,241.347,1.826,239.014,1.826,241.694,1.831,239.167,1.826,241.861,1.831,241.653,1.839,242,1.835,242,1.826,241.861,1.835,241.792,1.822,241.764,1.831,244.514,1.831,241.944,1.826,241.875,1.822,241.708,1.822,241.681,1.831,242,1.826,241.778,1.822,241,1.826,242,1.839,241.833,1.835,242,1.831,241.958,1.818,241.653,1.826,241.708,1.822,241.611,1.826,241.847,1.831,241.764,1.822,241.708,1.831,241.875,1.826,234.569,1.822,241.569,1.826,241.403,1.826,241.667,1.818,241.403,1.831,241.694,1.818,241.806,1.831,241.778,1.831,241.75,1.826,241.653,1.831,241.931,1.822,241.472,1.831,241.958,1.831,241.958,1.831,241.917,1.822,241.653,1.826,241.833,1.831,241.875,1.822,241.472,1.831,242,1.835,241.958,1.822,241.653,1.831,241.694,1.831,242,1.826,241.681,1.826,241.847,1.831,244.486,1.826,241.889,1.835,241.889,1.831,241.917,1.831,241.639,1.835,241.986,1.826,241.861,1.835,241.667,1.831,241.583,1.822,241.819,1.826,241.486,1.831,241.903,1.826,232.458,1.818,241.694,1.826,241.75,1.826,241.708,1.826,241.833,1.831,241.764
1.918,242.111,1.913,240.569,1.913,242.125,1.927,242.389,1.927,240.542,1.913,242.222,1.922,242.167,1.927,242.167,1.927,242.347,1.918,242.097,1.931,245,1.922,240.556,1.931,242.014,1.918,242.167,1.909,242.153,1.9,208.722,1.918,241.931,1.913,242.125,1.922,242.194,1.918,242.194,1.927,242.403,1.918,242.472,1.918,242.097,1.922,241.875,1.918,239.722,1.918,242.111,1.922,239.597,1.918,242.069,1.922,242.208,1.931,242.361,1.927,242.153,1.918,242.028,1.927,242.042,1.913,242.042,1.922,245,1.922,242.389,1.918,242.431,1.913,242.153,1.913,242.097,1.922,242.194,1.918,242.083,1.913,241.556,1.918,242.306,1.931,242.486,1.927,242.375,1.922,242.403,1.909,242.153,1.918,242.111,1.913,242.208,1.918,242.042,1.922,242,1.913,242.042,1.922,242.431,1.918,235.125,1.913,242.111,1.918,241.944,1.918,242.264,1.909,242,1.922,242.194,1.909,242.028,1.922,242.056,1.922,242.056,1.918,242,1.922,242.431,1.913,242.083,1.922,242.444,1.922,242.403,1.922,242.389,1.913,242.194,1.918,242.472,1.922,242.361,1.913,241.986,1.922,242.375,1.927,242.403,1.913,242.153,1.922,242.208,1.922,242.306,1.918,242.194,1.918,242.486,1.922,245,1.918,242.472,1.927,242.403,1.922,242.472,1.922,242.167,1.927,242.361,1.918,242.472,1.927,242.194,1.922,241.903,1.913,242.069,1.918,242,1.922,242.472,1.918,232.944,1.909,242.069,1.918,242.333,1.918,242.056,1.918,242.069,1.922,242.056
2.009,242.653,2.005,241.069,2.005,242.639,2.018,242.972,2.018,241.042,2.005,242.625,2.014,242.653,2.018,243,2.018,243,2.009,242.611,2.023,245.333,2.014,241.014,2.023,242.694,2.009,242.625,2,242.611,1.991,209.069,2.009,242.569,2.005,242.653,2.014,243,2.009,242.75,2.018,242.958,2.009,242.875,2.009,242.681,2.014,242.292,2.009,240.028,2.009,242.653,2.014,240.236,2.009,242.736,2.014,242.583,2.023,242.986,2.018,243,2.009,242.694,2.018,242.681,2.005,242.722,2.014,245.458,2.014,242.875,2.009,242.847,2.005,242.667,2.005,242.653,2.014,243,2.009,242.681,2.005,242,2.009,242.972,2.023,242.903,2.018,242.917,2.014,242.889,2,242.583,2.009,242.681,2.005,242.611,2.009,242.764,2.014,242.722,2.005,242.694,2.014,242.792,2.009,235.611,2.005,242.528,2.009,242.333,2.009,242.611,2,242.278,2.014,242.667,2,242.708,2.014,242.681,2.014,242.597,2.009,242.597,2.014,242.819,2.005,242.403,2.014,242.861,2.014,242.847,2.014,242.903,2.005,242.667,2.009,242.917,2.014,242.944,2.005,242.389,2.014,242.903,2.018,242.917,2.005,242.583,2.014,242.597,2.014,242.986,2.009,242.639,2.009,242.944,2.014,245.486,2.009,242.861,2.018,242.875,2.014,242.903,2.014,242.569,2.018,242.903,2.009,242.861,2.018,242.653,2.014,242.514,2.005,242.653,2.009,242.417,2.014,242.917,2.009,233.5,2,242.681,2.009,242.736,2.009,242.597,2.009,242.722,2.014,242.667
2.1,243.236,2.096,241.556,2.096,243.278,2.11,243.486,2.11,241.861,2.096,243.25,2.105,243.25,2.11,243.458,2.11,243.361,2.1,243.167,2.115,245.986,2.105,241.639,2.115,243.056,2.1,243.167,2.091,243.347,2.081,210.333,2.1,242.972,2.096,243.194,2.105,243.375,2.1,243.292,2.11,243.514,2.1,243.583,2.1,243.153,2.105,242.833,2.1,240.819,2.1,243.153,2.105,240.778,2.1,243.097,2.105,243.181,2.115,243.444,2.11,243.375,2.1,243.028,2.11,243.153,2.096,243.069,2.105,246,2.105,243.556,2.1,243.472,2.096,243.139,2.096,243.181,2.105,243.431,2.1,243.097,2.096,242.736,2.1,243.403,2.115,243.653,2.11,243.458,2.105,243.569,2.091,243.236,2.1,243.139,2.096,243.292,2.1,243.097,2.105,243.097,2.096,243.236,2.105,243.597,2.1,236.542,2.096,243.181,2.1,242.875,2.1,243.25,2.091,243.014,2.105,243.194,2.091,243.069,2.105,243.083,2.105,243.097,2.1,243.083,2.105,243.514,2.096,243.028,2.105,243.556,2.105,243.486,2.105,243.528,2.096,243.306,2.1,243.611,2.105,243.583,2.096,242.972,2.105,243.444,2.11,243.556,2.096,243.278,2.105,243.361,2.105,243.472,2.1,243.333,2.1,243.583,2.105,246.028,2.1,243.514,2.11,243.514,2.105,243.569,2.105,243.194,2.11,243.5,2.1,243.542,2.11,243.208,2.105,242.875,2.096,243.139,2.1,243,2.105,243.597,2.1,234.361,2.091,243.292,2.1,243.403,2.1,242.986,2.1,243.125,2.105,243.139
2.192,243.903,2.187,242.333,2.187,243.972,2.202,244.278,2.202,242.611,2.187,243.972,2.197,243.917,2.202,244.278,2.202,244.278,2.192,243.889,2.207,246.417,2.197,242.417,2.207,244.014,2.192,243.958,2.182,243.931,2.172,213.875,2.192,243.694,2.187,243.875,2.197,244.278,2.192,244.111,2.202,244.333,2.192,244.444,2.192,243.958,2.197,243.431,2.192,241.819,2.192,243.903,2.197,242,2.192,243.917,2.197,243.917,2.207,244.389,2.202,244.236,2.192,243.972,2.202,243.931,2.187,244,2.197,246.597,2.197,244.528,2.192,244.208,2.187,243.861,2.187,243.917,2.197,244.347,2.192,243.917,2.187,243.417,2.192,244.306,2.207,244.444,2.202,244.236,2.197,244.292,2.182,243.986,2.192,243.903,2.187,243.917,2.192,244.056,2.197,243.931,2.187,243.917,2.197,244.375,2.192,237.556,2.187,243.75,2.192,243.444,2.192,243.806,2.182,243.444,2.197,243.972,2.182,244.028,2.197,243.944,2.197,243.819,2.192,243.75,2.197,244.444,2.187,243.653,2.197,244.5,2.197,244.333,2.197,244.528,2.187,243.986,2.192,244.514,2.197,244.403,2.187,243.542,2.197,244.264,2.202,244.375,2.187,243.986,2.197,243.889,2.197,244.333,2.192,243.986,2.192,244.486,2.197,246.583,2.192,244.431,2.202,244.292,2.197,244.389,2.197,243.833,2.202,244.361,2.192,244.431,2.202,243.986,2.197,243.653,2.187,243.903,2.192,243.667,2.197,244.361,2.192,235.986,2.182,243.958,2.192,244.111,2.192,243.819,2.192,244,2.197,243.861
2.283,244.847,2.278,243.042,2.278,244.944,2.294,245.514,2.294,243.917,2.278,244.972,2.288,244.903,2.294,245.542,2.294,245.444,2.283,244.958,2.299,247.194,2.288,243.472,2.299,244.931,2.283,244.944,2.273,244.931,2.262,219.736,2.283,244.639,2.278,244.986,2.288,245.514,2.283,244.986,2.294,245.5,2.283,245.542,2.283,244.917,2.288,244.306,2.283,243.222,2.283,244.847,2.288,243.361,2.283,244.958,2.288,244.833,2.299,245.444,2.294,245.542,2.283,244.875,2.294,245.042,2.278,244.986,2.288,247.208,2.288,245.444,2.283,245.236,2.278,244.903,2.278,245.028,2.288,245.514,2.283,244.875,2.278,244.611,2.283,245.417,2.299,245.5,2.294,245.444,2.288,245.389,2.273,244.903,2.283,244.903,2.278,244.847,2.283,244.875,2.288,245.014,2.278,244.903,2.288,245.472,2.283,238.75,2.278,244.708,2.283,244.292,2.283,244.833,2.273,244.389,2.288,244.889,2.273,244.806,2.288,244.917,2.288,244.667,2.283,244.792,2.288,245.333,2.278,244.569,2.288,245.514,2.288,245.444,2.288,245.625,2.278,245,2.283,245.431,2.288,245.5,2.278,244.625,2.288,245.278,2.294,245.5,2.278,244.958,2.288,245.056,2.288,245.5,2.283,245.056,2.283,245.556,2.288,247.292,2.283,245.278,2.294,245.417,2.288,245.389,2.288,244.944,2.294,245.417,2.283,245.403,2.294,245.083,2.288,244.514,2.278,244.903,2.283,244.389,2.288,245.403,2.283,238.361,2.273,245.014,2.283,245.069,2.283,244.611,2.283,244.917,2.288,245
2.374,245.972,2.369,244.208,2.369,246.153,2.385,246.681,2.385,245.278,2.369,246.167,2.38,245.958,2.385,246.75,2.385,246.625,2.374,246.167,2.391,248.139,2.38,244.736,2.391,246.125,2.374,246.042,2.364,246.028,2.353,225.194,2.374,245.764,2.369,245.986,2.38,246.708,2.374,246.264,2.385,246.667,2.374,246.667,2.374,246.083,2.38,245.5,2.374,244.875,2.374,246.208,2.38,245.042,2.374,246.111,2.38,246.014,2.391,246.597,2.385,246.625,2.374,246.125,2.385,246.264,2.369,246.236,2.38,248.139,2.38,246.611,2.374,246.292,2.369,246,2.369,246.125,2.38,246.681,2.374,246.069,2.369,245.819,2.374,246.472,2.391,246.681,2.385,246.5,2.38,246.569,2.364,246.028,2.374,245.986,2.369,245.903,2.374,246.125,2.38,246.208,2.369,246.056,2.38,246.583,2.374,240.333,2.369,245.917,2.374,245.542,2.374,245.917,2.364,245.611,2.38,246.083,2.364,246.014,2.38,246.111,2.38,245.986,2.374,245.903,2.38,246.597,2.369,245.597,2.38,246.75,2.38,246.514,2.38,246.819,2.369,246.042,2.374,246.778,2.38,246.639,2.369,245.694,2.38,246.556,2.385,246.611,2.369,246.111,2.38,246.194,2.38,246.542,2.374,246.292,2.374,246.889,2.38,248.097,2.374,246.528,2.385,246.625,2.38,246.583,2.38,246.319,2.385,246.611,2.374,246.569,2.385,246.236,2.38,245.708,2.369,246.25,2.374,245.806,2.38,246.542,2.374,240.889,2.364,246.056,2.374,246.236,2.374,245.847,2.374,246.028,2.38,246.111
2.466,247.264,2.46,245.5,2.46,247.375,2.477,247.944,2.477,246.806,2.46,247.278,2.471,247.236,2.477,247.792,2.477,247.903,2.466,247.389,2.483,249.056,2.471,246.028,2.483,247.403,2.466,247.208,2.455,247.069,2.443,230.208,2.466,247.153,2.46,247.167,2.471,247.792,2.466,247.542,2.477,247.917,2.466,247.903,2.466,247.347,2.471,246.792,2.466,246.347,2.466,247.431,2.471,246.583,2.466,247.472,2.471,247.361,2.483,247.819,2.477,247.708,2.466,247.444,2.477,247.611,2.46,247.431,2.471,248.972,2.471,247.708,2.466,247.583,2.46,247.125,2.46,247.444,2.471,247.764,2.466,247.306,2.46,247.181,2.466,247.667,2.483,247.944,2.477,247.736,2.471,247.792,2.455,247.306,2.466,247.181,2.46,247.083,2.466,247.375,2.471,247.431,2.46,247.25,2.471,247.694,2.466,242.667,2.46,247.153,2.466,246.875,2.466,247.111,2.455,246.75,2.471,247.222,2.455,247.431,2.471,247.278,2.471,247.347,2.466,247.167,2.471,247.931,2.46,246.931,2.471,248.042,2.471,247.736,2.471,248,2.46,247.347,2.466,247.931,2.471,247.722,2.46,247.042,2.471,247.875,2.477,247.819,2.46,247.403,2.471,247.528,2.471,247.833,2.466,247.444,2.466,248.069,2.471,248.944,2.466,247.736,2.477,247.778,2.471,247.778,2.471,247.417,2.477,247.847,2.466,247.708,2.477,247.556,2.471,247.153,2.46,247.431,2.466,246.986,2.471,247.694,2.466,243.361,2.455,247.208,2.466,247.458,2.466,247.069,2.466,247.319,2.471,247.444
2.557,248.458,2.551,246.847,2.551,248.569,2.569,249.153,2.569,248.25,2.551,248.472,2.563,248.486,2.569,248.972,2.569,249.056,2.557,248.569,2.575,249.917,2.563,247.556,2.575,248.792,2.557,248.556,2.545,248.319,2.534,234.694,2.557,248.583,2.551,248.5,2.563,248.986,2.557,248.736,2.569,249.028,2.557,249.056,2.557,248.583,2.563,248.25,2.557,247.819,2.557,248.681,2.563,248,2.557,248.736,2.563,248.597,2.575,249.042,2.569,248.833,2.557,248.694,2.569,248.889,2.551,248.736,2.563,249.875,2.563,248.972,2.557,248.819,2.551,248.472,2.551,248.667,2.563,249.069,2.557,248.597,2.551,248.444,2.557,248.875,2.575,249.222,2.569,248.903,2.563,248.972,2.545,248.486,2.557,248.569,2.551,248.264,2.557,248.542,2.563,248.806,2.551,248.556,2.563,248.917,2.557,244.861,2.551,248.361,2.557,248.278,2.557,248.333,2.545,248.097,2.563,248.514,2.545,248.667,2.563,248.5,2.563,248.639,2.557,248.431,2.563,249.083,2.551,248.125,2.563,249.25,2.563,248.958,2.563,249.056,2.551,248.708,2.557,249.139,2.563,248.917,2.551,248.375,2.563,249.139,2.569,249.056,2.551,248.667,2.563,248.833,2.563,249.042,2.557,248.653,2.557,249.167,2.563,249.889,2.557,248.986,2.569,248.986,2.563,248.917,2.563,248.694,2.569,249.097,2.557,248.986,2.569,248.903,2.563,248.514,2.551,248.569,2.557,248.25,2.563,248.861,2.557,245.514,2.545,248.444,2.557,248.681,2.557,248.375,2.557,248.458,2.563,248.722
2.648,249.722,2.642,248.153,2.642,249.875,2.661,250.236,2.661,249.625,2.642,249.722,2.654,249.569,2.661,250.181,2.661,250.306,2.648,249.806,2.667,250.819,2.654,249.014,2.667,249.986,2.648,249.722,2.636,249.569,2.624,238.431,2.648,249.889,2.642,249.625,2.654,250.181,2.648,249.917,2.661,250.222,2.648,250.181,2.648,249.819,2.654,249.597,2.648,249.264,2.648,249.889,2.654,249.472,2.648,249.903,2.654,249.903,2.667,250.389,2.661,250.083,2.648,249.833,2.661,250.153,2.642,249.889,2.654,250.931,2.654,250.153,2.648,250.069,2.642,249.778,2.642,249.806,2.654,250.306,2.648,249.889,2.642,249.75,2.648,250.014,2.667,250.444,2.661,250.083,2.654,250.25,2.636,249.681,2.648,249.778,2.642,249.5,2.648,249.792,2.654,250.069,2.642,249.75,2.654,250.153,2.648,246.722,2.642,249.653,2.648,249.583,2.648,249.514,2.636,249.528,2.654,249.806,2.636,249.75,2.654,249.667,2.654,249.931,2.648,249.708,2.654,250.333,2.642,249.403,2.654,250.361,2.654,250.056,2.654,250.319,2.642,249.847,2.648,250.25,2.654,250.111,2.642,249.681,2.654,250.264,2.661,250.194,2.642,249.944,2.654,250.097,2.654,250.208,2.648,250,2.648,250.319,2.654,250.944,2.648,250.097,2.661,250.236,2.654,250.111,2.654,249.986,2.661,250.389,2.648,250.208,2.661,250.056,2.654,249.694,2.642,249.847,2.648,249.583,2.654,250.083,2.648,247.528,2.636,249.625,2.648,249.931,2.648,249.694,2.648,249.653,2.654,249.847
2.74,250.917,2.733,249.347,2.733,251.194,2.752,251.458,2.752,250.861,2.733,250.833,2.746,250.972,2.752,251.389,2.752,251.5,2.74,250.972,2.759,251.889,2.746,250.444,2.759,251.278,2.74,251.014,2.727,250.75,2.715,242.097,2.74,251.083,2.733,250.986,2.746,251.361,2.74,251.153,2.752,251.458,2.74,251.278,2.74,251.125,2.746,250.903,2.74,250.556,2.74,251.028,2.746,250.833,2.74,251.181,2.746,251.208,2.759,251.556,2.752,251.375,2.74,251.097,2.752,251.264,2.733,251.125,2.746,251.875,2.746,251.389,2.74,251.222,2.733,251.042,2.733,250.931,2.746,251.5,2.74,251.153,2.733,251.014,2.74,251.167,2.759,251.653,2.752,251.292,2.746,251.431,2.727,250.931,2.74,250.931,2.733,250.792,2.74,251.125,2.746,251.292,2.733,250.972,2.746,251.292,2.74,248.472,2.733,250.833,2.74,250.792,2.74,250.764,2.727,250.833,2.746,251.028,2.727,251,2.746,250.931,2.746,251.167,2.74,251.028,2.746,251.556,2.733,250.847,2.746,251.583,2.746,251.375,2.746,251.389,2.733,251.167,2.74,251.514,2.746,251.194,2.733,250.903,2.746,251.458,2.752,251.542,2.733,251.111,2.746,251.319,2.746,251.333,2.74,251.111,2.74,251.583,2.746,251.875,2.74,251.319,2.752,251.5,2.746,251.333,2.746,251.194,2.752,251.611,2.74,251.431,2.752,251.319,2.746,251.111,2.733,250.903,2.74,250.75,2.746,251.347,2.74,249.222,2.727,250.917,2.74,251.222,2.74,251,2.74,250.986,2.746,251
